Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, without waveform uncertainty) ...

0it [00:00, ?it/s]
111it [00:13,  7.58it/s, bound: 0 | nc: 1 | ncall: 387 | eff(%): 28.682 | loglstar:   -inf < -53648.016 <    inf | logz: -53654.674 +/-  0.163 | dlogz: 61084.330 >  0.500]
113it [00:13,  8.25it/s, bound: 0 | nc: 1 | ncall: 389 | eff(%): 29.049 | loglstar:   -inf < -52587.313 <    inf | logz: -52593.979 +/-  0.163 | dlogz: 60294.975 >  0.500]
114it [00:13,  8.49it/s, bound: 0 | nc: 1 | ncall: 390 | eff(%): 29.231 | loglstar:   -inf < -52502.013 <    inf | logz: -52508.683 +/-  0.163 | dlogz: 59535.085 >  0.500]
116it [00:13,  9.01it/s, bound: 0 | nc: 1 | ncall: 392 | eff(%): 29.592 | loglstar:   -inf < -52302.994 <    inf | logz: -52309.672 +/-  0.163 | dlogz: 59319.094 >  0.500]
118it [00:14,  8.07it/s, bound: 0 | nc: 2 | ncall: 395 | eff(%): 29.873 | loglstar:   -inf < -52170.608 <    inf | logz: -52177.294 +/-  0.163 | dlogz: 59242.779 >  0.500]
120it [00:14,  7.59it/s, bound: 0 | nc: 2 | ncall: 398 | eff(%): 30.151 | loglstar:   -inf < -51940.996 <    inf | logz: -51947.690 +/-  0.163 | dlogz: 59001.800 >  0.500]
121it [00:14,  6.15it/s, bound: 0 | nc: 3 | ncall: 401 | eff(%): 30.175 | loglstar:   -inf < -51675.454 <    inf | logz: -51682.152 +/-  0.164 | dlogz: 58888.768 >  0.500]
123it [00:15,  7.13it/s, bound: 0 | nc: 1 | ncall: 403 | eff(%): 30.521 | loglstar:   -inf < -51630.358 <    inf | logz: -51637.064 +/-  0.164 | dlogz: 58613.286 >  0.500]
125it [00:15,  7.92it/s, bound: 0 | nc: 1 | ncall: 405 | eff(%): 30.864 | loglstar:   -inf < -51494.716 <    inf | logz: -51501.429 +/-  0.164 | dlogz: 58483.314 >  0.500]
126it [00:15,  7.16it/s, bound: 0 | nc: 2 | ncall: 407 | eff(%): 30.958 | loglstar:   -inf < -51243.231 <    inf | logz: -51249.948 +/-  0.164 | dlogz: 58442.487 >  0.500]
128it [00:15,  5.64it/s, bound: 0 | nc: 4 | ncall: 412 | eff(%): 31.068 | loglstar:   -inf < -51188.158 <    inf | logz: -51194.884 +/-  0.164 | dlogz: 58156.635 >  0.500]
130it [00:16,  5.44it/s, bound: 0 | nc: 3 | ncall: 416 | eff(%): 31.250 | loglstar:   -inf < -50714.621 <    inf | logz: -50721.355 +/-  0.164 | dlogz: 58100.502 >  0.500]
132it [00:16,  6.40it/s, bound: 0 | nc: 1 | ncall: 418 | eff(%): 31.579 | loglstar:   -inf < -50310.551 <    inf | logz: -50317.293 +/-  0.164 | dlogz: 57273.180 >  0.500]
134it [00:16,  7.26it/s, bound: 0 | nc: 1 | ncall: 420 | eff(%): 31.905 | loglstar:   -inf < -50177.026 <    inf | logz: -50183.775 +/-  0.164 | dlogz: 57138.892 >  0.500]
135it [00:16,  6.74it/s, bound: 0 | nc: 2 | ncall: 422 | eff(%): 31.991 | loglstar:   -inf < -49952.572 <    inf | logz: -49959.325 +/-  0.164 | dlogz: 57124.797 >  0.500]
137it [00:17,  6.77it/s, bound: 0 | nc: 2 | ncall: 425 | eff(%): 32.235 | loglstar:   -inf < -49549.556 <    inf | logz: -49556.318 +/-  0.164 | dlogz: 56559.257 >  0.500]
139it [00:17,  7.62it/s, bound: 0 | nc: 1 | ncall: 427 | eff(%): 32.553 | loglstar:   -inf < -49266.027 <    inf | logz: -49272.797 +/-  0.164 | dlogz: 56338.831 >  0.500]
141it [00:17,  7.34it/s, bound: 0 | nc: 2 | ncall: 430 | eff(%): 32.791 | loglstar:   -inf < -48653.247 <    inf | logz: -48660.024 +/-  0.164 | dlogz: 55934.848 >  0.500]
143it [00:17,  7.17it/s, bound: 0 | nc: 2 | ncall: 433 | eff(%): 33.025 | loglstar:   -inf < -48287.997 <    inf | logz: -48294.782 +/-  0.165 | dlogz: 55589.673 >  0.500]
144it [00:18,  4.92it/s, bound: 0 | nc: 5 | ncall: 438 | eff(%): 32.877 | loglstar:   -inf < -48266.644 <    inf | logz: -48273.433 +/-  0.165 | dlogz: 55235.769 >  0.500]
